Straße;Hausnummer;PLZ;Ort;Breitengrad;Längengrad
Esenbeckstraße;14;50735;Köln;50,968218;6,97511
Subbelrather Straße;533;50827;Köln;50,960305;6,903247
Rhieler Platz;vor Hs-Nr ;50668;Köln;50,954988;6,966254
Johannisstraße;74;50667;Köln;50,94498;6,960778
Am Molenkopf ;3;50735;Köln;50,974132;6,988296
Ottostraße;1;50766;Köln;50,901326;7,065281
Nonniweg ;8;50825;Köln;50,95438;6,9033
Aachener Straße;204;50931;Köln;50,937772;6,916397
Mainzer Straße;42-48;50678;Köln;50,919056;6,964449
Scheibenstraße ;13;50737;Köln;50,985738;6,949581
Neusser Landstraße;hinter Hau;50735;Köln;50,999238;6,937031
Kleine Budengasse;01. Mrz;50667;Köln;50,939087;6,958846
Steinstr.;6;50259;Pulheim;50,996442;6,799732
Platz der Einheit;2;60327;Frankfurt;50,111505;8,654881
Rathhaus;0;50667;Köln;50,937664;6,959241
Willy-Brandt-Platz;3;50679;Köln;50,939396;6,981609
Parkgürtel 24;Parkgürtel;50823;Köln;50,958397;6,930609
Kardinal-Frings-Straße;01. Mrz;50668;Köln;50,944306;6,952838
Sedanstraße;6;50688;Köln;50,951987;6,961789
Berlin-Kölnische-Allee;6;50969;Köln;50,916828;6,938862
Kampstraße;2;50354;Hürth;50,882395;6,857436
Deutzer Allee ;1;50679;Köln;50,942692;6,975026
Willy-Brandt-Platz ;1;50354;Hürth;50,885297;6,868231
Hohenzollerring ;71-73;50672;Köln;50,941222;6,939535
Kölner Straße ;16;50126;Bergheim;50,952166;6,64674
Zusestraße ;27;50859;Köln;50,950222;6,845139
Aachener Straße;999;50933;Köln;50,932592;6,873806
Max-Planck-Straße;42;50354;Hürth;50,886298;6,914
Siemensstraße;01. Mrz;50354;Hürth;50,881538;6,902201
Zugweg;29-31;50677;Köln;50,918114;6,958556
Stolberger Straße;351;50933;Köln;50,942229;6,887143
Kennedystraße;1;51149;Köln;50,882871;7,110765
Dürener Straße;287;50933;Köln;50,926851;6,904361
Erftstraße;19;50672;Köln;50,945892;6,941821
Parkgürtel ;24;50823;Köln;50,960249;6,9335
Niederkasselerstraße;8;51147;Köln;50,840479;7,103025
Grafweg;5;58332;Schwelm;51,273875;7,280472
Von-Hünefeld-Str. ;100;50829;Köln;50,989158;6,892736
Riehlerstraße;190;50735;Köln;50,958392;6,975685
Habsburger Ring ;Sep 13;50674;Köln;50,93563;6,938174
Ottostraße;1;51149;Köln;50,901326;7,065281
Bergstraße;163;51515;Kürten;51,061366;7,236219
